Control_1	Control_2	Control_3	FeD-1	FeD-2	FeD-3	FeE-1	FeE-2	FeE-3
2558007067	4032	6675	7334	8478	8989	5480	17478	13268	10082
2558007068	2396	3780	4749	4779	5493	4096	11142	8564	6886
2558007069	972	914	1303	1182	1294	1159	1748	1745	1384
2558007070	1202	1238	1893	1596	1604	1826	2471	2149	1795
2558007071	2824	2981	4403	4057	4388	3808	4214	4861	4098
2558007072	319	275	482	446	459	551	411	361	301
2558007074	296	308	497	429	441	533	399	388	352
2558007075	448	487	887	871	990	1065	759	712	653
2558007076	176	203	300	316	396	323	230	227	218
2558007077	2162	2069	2399	2362	2748	2685	1889	1384	1280
2558007078	1273	1078	1369	1142	1284	1218	966	785	749
2558007079	29703	27491	48599	35779	44377	42141	33995	34779	30279
2558007080	773	543	1144	691	627	846	668	587	423
2558007081	1077	862	1552	892	970	1244	972	727	630
2558007082	378	324	567	422	399	455	337	330	296
2558007083	1710	2103	2838	3015	3757	2589	2080	2509	2275
2558007084	333	352	507	500	643	486	412	452	428
2558007085	70	41	103	116	125	175	155	118	80
2558007086	23	31	34	62	70	73	78	52	59
2558007087	93	82	170	127	192	200	263	209	178
2558007088	231	255	357	298	514	371	263	261	257
2558007089	3478	3773	5158	6061	9810	10198	7077	4168	4465
2558007090	393	384	727	820	1427	1484	1270	820	863
2558007091	570	728	971	1011	1107	1199	1119	874	850
2558007092	207	245	381	430	540	616	523	440	395
2558007093	1401	1765	2348	3245	4435	3409	2324	2196	2179
2558007094	328	358	541	415	331	79	75	496	347
2558007095	1375	1599	2143	1671	1210	432	438	1864	1330
2558007096	130	126	201	154	170	102	140	313	215
2558007097	103	130	237	125	157	160	288	312	307
2558007098	33	29	67	57	61	48	43	52	49
2558007099	3	3	9	7	11	10	3	6	18
2558007100	372	305	554	559	609	542	527	553	512
2558007101	3905	4159	5712	5878	6737	6306	4961	4196	3564
2558007102	88	80	104	82	90	115	84	68	64
2558007103	212	220	319	169	250	233	181	217	172
2558007104	368	452	592	614	748	706	606	586	555
2558007105	803	697	946	1115	1213	1356	1120	869	830
2558007106	264	250	394	339	474	487	418	333	298
2558007107	8614	8684	11169	12588	13608	8992	8772	11248	8979
2558007108	315	343	466	518	445	557	518	278	275
2558007109	107	121	186	166	200	222	222	181	169
2558007110	1661	1646	2636	2942	3382	3720	2357	2119	1890
2558007111	553	526	930	702	955	817	573	750	708
2558007112	667	708	1040	1010	1187	1130	951	1136	1017
2558007113	417	514	620	770	1061	695	531	646	537
2558007114	34	45	45	61	71	47	52	62	51
2558007115	27	36	67	46	45	54	62	55	36
2558007116	11	12	28	12	20	23	19	15	2
2558007117	1	1	4	5	4	3	1	0	0
2558007118	47	65	90	95	82	102	68	34	48
2558007119	37	33	62	101	94	96	50	52	47
2558007120	192	288	334	414	455	634	288	214	211
2558007121	544	607	728	938	1253	1173	896	754	721
2558007123	14	14	15	23	22	29	29	32	16
2558007124	49	46	89	51	73	73	105	76	71
2558007125	10	4	16	11	12	6	15	14	10
2558007126	20	9	19	17	23	17	26	21	12
2558007127	14	10	23	21	24	18	13	18	9
2558007128	16	14	18	14	20	17	8	16	12
2558007129	8	12	11	12	32	14	15	17	11
2558007130	43	42	64	51	55	60	39	33	38
2558007131	136	153	263	230	320	263	144	188	159
2558007132	51	56	113	75	101	146	106	74	47
2558007133	122	103	226	130	179	240	182	113	106
2558007134	11	7	18	17	16	25	15	17	15
2558007135	8	4	12	17	16	14	6	12	5
2558007136	2	2	6	0	0	2	5	0	1
2558007137	1	2	12	4	4	6	2	6	4
2558007138	439	579	685	793	998	564	1516	935	1000
2558007139	306	396	418	539	730	378	1064	807	775
2558007140	841	1247	1314	1352	1987	887	2799	2190	2150
2558007141	161	191	233	235	357	197	714	596	431
2558007142	879	1011	1177	1008	1240	1077	1027	768	730
2558007143	525	610	850	709	870	778	689	629	504
2558007144	225	257	325	336	649	364	310	297	255
2558007145	325	288	372	322	652	387	352	430	381
2558007146	53	39	78	82	89	79	72	84	60
2558007147	142	115	204	182	233	249	211	193	190
2558007148	1184	895	1252	1204	2293	1645	689	937	739
2558007149	759	783	1129	1324	1286	1569	744	509	515
2558007150	453	379	530	451	555	502	254	182	129
2558007151	45	62	74	79	123	62	59	47	44
2558007152	63	47	70	117	126	106	65	67	78
2558007153	30	39	37	25	26	29	17	8	10
2558007154	8	13	27	13	8	16	15	12	3
2558007155	9	9	14	11	13	17	14	7	3
2558007156	13	15	13	4	4	7	7	9	13
2558007157	11	12	19	17	18	16	23	19	10
2558007158	9	4	21	8	13	6	9	10	9
2558007159	54	48	80	59	65	77	64	68	35
2558007160	12	21	21	32	24	38	23	20	19
2558007161	130	118	178	155	172	158	174	204	169
2558007162	55	33	73	79	209	70	71	81	86
2558007163	44	36	56	56	49	62	50	33	29
2558007164	2	3	1	4	0	3	10	5	1
2558007165	810	884	1397	1210	1383	1273	891	1009	854
2558007166	409	447	804	765	783	1064	937	1021	870
2558007167	12	12	36	15	31	15	16	13	22
2558007168	75	92	219	113	144	168	147	84	76
2558007169	56	50	87	39	60	38	46	30	27
2558007170	3	7	4	9	5	4	1	2	1
2558007171	14	8	19	6	15	3	2	7	4
2558007172	120	134	199	119	151	158	134	104	103
2558007173	109	76	152	123	121	96	141	103	92
2558007174	2323	1893	3353	2448	2240	2697	2977	2912	2339
2558007175	1380	1188	1755	1516	1422	1426	1425	1629	1251
2558007176	2304	2384	3175	3048	3490	2852	2417	2869	2443
2558007177	1019	981	1892	1408	1763	1510	1587	1705	1265
2558007178	1677	1800	2432	2321	2684	2346	2027	2099	1764
2558007179	2203	2015	3383	3620	3554	5208	3774	3141	2657
2558007180	223	165	404	277	231	629	605	255	190
2558007181	141	95	127	129	91	286	149	67	38
2558007182	127	95	129	93	126	136	87	56	59
2558007183	1411	1405	1771	2161	2745	3017	1586	1377	1264
2558007184	382	346	524	490	615	576	474	364	338
2558007185	342	339	508	390	501	505	535	335	296
2558007186	316	312	405	475	554	630	468	329	332
2558007187	1533	1622	1967	1494	1899	1784	1791	1383	1199
2558007188	603	544	823	782	861	775	571	566	462
2558007189	483	406	589	499	618	686	381	450	333
2558007190	104	130	165	142	217	215	126	135	102
2558007191	41	25	40	40	54	54	40	30	30
2558007192	351	407	503	563	631	519	428	384	325
2558007193	148	177	235	197	243	234	177	157	137
2558007194	146	171	248	220	277	334	200	139	97
2558007195	111	147	210	177	214	260	216	199	180
2558007196	569	474	992	717	882	901	712	780	649
2558007197	366	399	551	638	801	699	480	475	436
2558007198	185	211	303	228	333	343	357	350	300
2558007199	698	627	922	924	1006	1047	937	766	696
2558007200	110	109	170	203	220	174	197	210	148
2558007201	455	546	966	691	938	832	785	726	648
2558007202	94	101	169	134	149	199	152	139	128
2558007203	1872	1862	2737	2404	2284	1052	967	3071	2266
2558007204	2407	2426	3443	2898	3664	3526	3350	3241	2836
2558007205	1614	1546	1893	1771	2056	2019	1405	1223	1053
2558007206	178	191	352	353	453	389	339	318	251
2558007207	354	449	592	533	686	598	554	528	401
2558007208	94	110	176	172	164	196	215	216	161
2558007209	1084	1191	1755	1697	2112	2190	2215	1742	1582
2558007210	200	187	324	323	408	460	396	287	252
2558007211	274	261	402	384	571	389	318	245	235
2558007212	583	598	881	895	1069	906	627	531	521
2558007213	76	67	67	48	64	47	12	6	12
2558007214	606	501	751	652	938	765	922	567	514
2558007215	412	484	635	662	889	900	618	519	458
2558007216	1806	2261	3234	3677	4343	4215	2594	2603	2436
2558007217	640	881	1169	1340	1598	1642	1194	1159	1040
2558007218	203	268	269	315	452	374	232	201	190
2558007219	1445	1345	2185	2116	2482	2321	1697	1351	1249
2558007220	223	206	586	357	363	505	423	434	417
2558007221	986	801	2440	1090	1074	1758	1194	1633	1133
2558007222	3	11	11	8	17	12	9	7	3
2558007223	172	163	256	169	252	243	233	198	214
2558007224	1020	845	1282	1094	1742	1206	1353	1167	1037
2558007225	58	49	82	80	82	92	76	64	60
2558007226	5566	6165	7914	7488	9764	7890	7377	4865	4575
2558007227	39	27	66	53	76	89	83	86	78
2558007228	19	25	33	18	31	26	33	31	18
2558007229	38	37	70	47	39	39	59	53	33
2558007230	72	65	101	94	122	93	115	91	113
2558007231	7	10	4	8	8	10	6	13	16
2558007232	292	389	472	587	971	547	427	433	347
2558007233	318	266	406	174	168	254	112	63	67
2558007234	188	116	232	166	157	219	127	144	120
2558007235	64	34	93	59	68	67	66	67	84
2558007236	5	2	0	6	1	4	1	3	2
2558007237	111	122	214	149	157	210	170	128	92
2558007238	51	59	112	83	121	114	110	62	56
2558007239	2825	3086	5299	5486	5785	6832	5034	3869	3258
2558007240	1079	1329	1340	2280	7398	2377	902	1121	918
2558007241	273	328	612	436	469	297	242	268	210
2558007242	2272	2466	3420	3961	5623	4515	2635	3225	2852
2558007243	38	40	57	50	106	75	44	45	36
2558007244	74	73	105	79	117	123	58	80	59
2558007245	666	782	718	718	942	609	454	401	354
2558007246	512	461	732	647	772	644	542	473	372
2558007247	69	101	143	156	89	217	50	36	28
2558007248	161	121	195	426	349	323	96	45	39
2558007249	25	21	66	90	70	61	26	13	11
2558007250	30	57	54	61	63	65	48	59	43
2558007251	339	311	521	426	498	659	488	340	307
2558007252	58	82	90	94	120	76	51	41	28
2558007253	326	371	516	422	362	305	216	406	264
2558007254	175	197	352	365	362	230	210	307	234
2558007255	116	100	173	148	190	191	131	130	136
2558007256	1392	1365	1754	1726	2156	1786	1199	1075	882
2558007257	15	3	13	9	9	10	7	8	5
2558007258	12	0	14	12	19	18	23	25	10
2558007259	1038	1008	1524	1209	1324	1128	1229	863	802
2558007260	260	333	326	290	366	345	264	199	159
2558007261	90	111	114	85	111	96	58	53	53
2558007262	4292	5868	4851	6454	7420	6151	3828	2420	2102
2558007263	331	332	492	641	845	832	431	364	401
2558007264	1151	1249	1423	1979	2389	2399	1216	971	918
2558007265	1460	1511	2174	1992	2729	2193	2377	1673	1560
2558007266	8782	9299	10725	10958	14712	15249	12702	6820	6852
2558007267	110	115	219	244	252	300	270	228	220
2558007268	166	191	266	289	380	378	275	290	227
2558007269	540	564	865	888	951	810	753	825	644
2558007270	245	260	385	371	304	178	162	371	290
2558007271	149	115	156	159	193	157	141	210	172
2558007272	1986	1945	2993	2961	3284	3389	2657	2622	2261
2558007273	778	829	1560	1440	1949	1563	1557	1623	1497
2558007274	218	234	407	328	383	450	348	373	304
2558007275	1674	1863	2890	2290	2560	2843	2715	1764	1462
2558007276	121	149	306	198	187	279	203	189	170
2558007277	115	156	218	240	295	275	223	174	163
2558007278	195	202	266	182	210	234	177	173	126
2558007279	74	116	144	145	147	126	101	61	72
2558007280	45	73	93	95	114	94	109	80	68
2558007281	608	595	883	648	766	663	674	619	538
2558007282	415	436	510	577	645	603	424	349	285
2558007283	294	300	474	289	283	368	273	348	277
2558007284	454	468	688	692	846	893	855	872	800
2558007285	178	169	250	254	292	320	280	258	190
2558007286	1318	1432	2020	2455	2517	3088	1719	1299	1267
2558007287	99	89	176	163	180	223	163	144	116
2558007288	560	542	629	939	1172	1342	603	442	446
2558007289	5795	5917	8681	9157	11091	11165	6752	7035	6151
2558007290	889	987	1292	1517	1736	1835	1070	1085	972
2558007291	2328	2148	3049	2486	2807	2566	2623	1644	1549
2558007292	584	503	746	642	695	585	436	338	192
2558007293	3700	3258	4649	4082	4200	4063	2962	1978	1603
2558007294	322	365	521	540	717	541	446	523	509
2558007295	29	45	24	62	201	77	17	33	35
2558007296	93	159	190	303	1159	419	176	158	136
2558007297	1195	1219	1737	1631	2427	1271	995	1697	1503
2558007298	1284	1348	1772	1512	1314	703	775	1415	1118
2558007299	453	454	760	577	614	493	544	735	542
2558007300	779	681	1181	792	983	827	619	506	491
2558007301	381	378	592	497	566	686	632	468	398
2558007302	1609	1841	2755	2282	2718	3107	4368	2945	2795
2558007303	1205	1234	1622	1548	1849	1974	2950	1833	1755
2558007304	352	408	537	685	565	699	391	210	168
2558007305	162	97	173	123	190	85	175	257	246
2558007306	609	489	814	539	716	514	566	743	681
2558007307	109	144	212	180	201	226	212	156	130
2558007308	415	439	643	569	1041	846	854	745	789
2558007309	135	139	204	188	232	222	214	185	153
2558007310	882	890	1171	1178	1392	1218	1134	761	717
2558007311	464	531	659	811	842	732	822	581	541
2558007312	530	660	790	824	989	955	981	587	521
2558007313	229	312	358	353	402	410	482	271	251
2558007314	1284	1471	1822	2051	2874	2388	2283	1838	1727
2558007315	186	232	291	335	363	343	230	182	189
2558007316	1306	1356	1597	1581	1697	1991	1304	897	860
2558007317	724	704	1114	883	958	971	827	937	723
2558007318	1582	1499	2358	2010	2227	2646	1897	1640	1443
2558007319	283	306	404	441	562	525	533	360	366
2558007320	700	726	1096	1051	1205	1334	924	881	847
2558007321	715	718	1001	1047	1195	1117	906	749	801
2558007322	663	563	1034	907	1218	973	883	838	737
2558007323	352	446	582	422	450	564	432	522	359
2558007324	356	407	559	602	652	714	702	397	338
2558007325	492	512	813	754	1198	737	653	696	580
2558007326	104	103	176	194	208	172	180	149	121
2558007327	295	262	387	326	421	382	257	261	236
2558007328	862	873	1119	934	989	1263	1039	714	551
2558007329	35	38	57	59	79	87	57	42	52
2558007330	16	22	24	48	61	40	25	28	34
2558007331	237	209	276	285	385	424	323	245	279
2558007332	142	133	253	204	255	213	239	274	209
2558007333	588	516	913	732	1040	858	946	775	576
2558007334	2344	2322	3857	2636	3463	3413	4265	3011	2775
2558007335	288	231	452	344	370	372	463	313	270
2558007336	131	151	240	169	200	183	234	346	282
2558007337	83	94	126	121	167	127	105	139	141
2558007338	39	63	65	68	81	70	68	71	65
2558007339	243	262	363	235	292	256	268	205	181
2558007340	156	177	200	244	264	195	216	141	193
2558007341	148	188	217	275	297	262	263	241	217
2558007342	173	217	268	349	403	351	305	206	202
2558007343	64	67	88	97	79	134	100	77	57
2558007344	94	91	159	158	164	139	151	118	111
2558007345	161	168	212	292	326	290	224	211	207
2558007346	202	220	321	302	326	359	327	220	198
2558007347	461	372	675	406	520	549	390	343	292
2558007348	72	83	94	93	106	87	89	79	84
2558007349	794	833	1492	932	1059	468	516	527	496
2558007350	410	369	600	548	636	714	649	497	403
2558007351	640	613	1051	1096	1296	1201	815	947	748
2558007352	140	152	200	155	147	200	134	101	88
2558007353	18	26	42	23	31	36	40	33	22
2558007354	502	562	773	757	914	756	748	678	568
2558007355	488	746	1000	845	1044	862	1202	966	892
2558007356	350	434	666	541	628	511	638	684	622
2558007357	95	100	156	142	175	184	192	152	121
2558007358	45	40	53	56	70	49	65	36	49
2558007359	682	552	1052	710	912	790	755	526	505
2558007360	468	381	544	449	572	606	458	372	389
2558007361	196	166	263	264	274	269	231	186	199
2558007362	531	570	1060	938	1036	1171	868	665	565
2558007363	167	219	289	305	688	286	209	169	170
2558007364	202	180	238	269	351	332	183	113	104
2558007365	133	108	289	261	243	359	182	111	99
2558007366	5856	3602	5207	7825	8229	8228	3211	1443	1229
2558007367	3329	2611	3581	5239	5357	5199	2208	906	856
2558007368	1199	1382	1844	2580	3007	2543	1822	889	894
2558007369	1128	1466	2057	2396	2639	2580	2149	933	941
2558007370	581	592	1023	1234	1577	1250	1239	724	619
2558007371	120	143	111	256	596	197	119	185	127
2558007372	48	54	77	64	99	79	62	54	49
2558007373	37	46	61	59	72	76	65	62	85
2558007374	262	257	395	333	386	436	382	422	357
2558007375	1105	1053	2071	1577	1869	1645	1421	1743	1383
2558007376	1161	662	1095	717	803	694	580	731	600
2558007377	108	156	183	168	494	193	194	167	150
2558007378	2000	1996	2568	2307	3952	2178	2291	1677	1421
