Control_1	Control_2	Control_3	FeD-1	FeD-2	FeD-3	FeE-1	FeE-2	FeE-3
2558008461	1481	1605	2376	2829	2937	3145	1757	1529	1321
2558008462	2479	2703	5163	6353	4750	5744	3489	2561	2006
2558008463	2587	2676	4023	6398	5428	5805	3015	2480	2040
2558008464	8577	18509	7842	10080	12847	1516	25241	12801	11345
2558008465	1927	4214	1498	2112	2881	244	5813	2774	2446
2558008466	6016	12247	4338	6198	8553	674	15535	7819	7138
2558008467	403	744	234	413	600	26	1097	565	467
2558008468	180	389	103	217	326	12	643	291	224
2558008469	1176	2716	703	1190	1903	65	3087	1384	1326
2558008470	612	1517	345	640	1062	27	1424	634	576
2558008471	426	855	473	598	835	229	982	492	477
2558008472	305	341	465	422	465	322	598	436	397
2558008473	51	60	82	76	71	58	93	52	54
2558008474	47	48	57	49	90	66	61	72	48
2558008475	70	106	136	131	142	105	103	135	93
2558008476	469	541	833	870	823	574	572	889	712
2558008477	775	771	1414	1409	1322	2032	1027	755	707
2558008478	695	688	929	922	1022	946	760	603	506
2558008479	1172	1083	1508	1431	1740	1514	1346	1221	1086
2558008480	230	216	294	310	357	378	307	285	246
2558008481	174	217	275	318	360	339	236	181	191
2558008482	365	352	499	570	778	700	605	374	349
2558008483	2517	2339	4050	2343	3566	2825	3008	3123	2649
2558008484	868	909	1694	1302	1608	1803	1721	1788	1430
2558008485	1449	1594	2539	2102	2582	2542	2410	2318	1905
2558008486	711	834	1133	1291	1494	1452	981	835	709
2558008487	522	390	741	612	673	895	773	625	502
2558008488	979	887	1376	1435	1823	1704	1330	1155	1015
2558008489	6036	5932	8448	8724	10152	9758	7598	6387	5755
2558008490	1651	1646	2326	2248	2852	2431	2085	1869	1497
2558008491	2530	2568	3337	3735	4502	4028	3388	3269	2764
2558008492	971	1080	1530	1607	2033	1558	1632	1720	1579
2558008493	560	646	1019	985	1124	1263	1206	1062	821
2558008494	462	523	740	790	937	927	829	649	533
2558008495	633	738	1158	971	1117	1227	1063	744	684
2558008496	10042	9465	11440	8837	10018	10240	8211	6635	5783
2558008497	391	414	665	634	668	688	586	483	408
2558008498	162	211	264	222	333	268	203	176	142
2558008499	287	303	399	429	539	471	339	291	234
2558008500	82	96	159	139	170	139	121	136	129
2558008502	290	316	502	506	568	663	526	594	435
2558008503	176	190	355	298	283	218	180	299	292
2558008504	206	183	262	270	368	333	241	275	227
2558008505	1736	1642	2170	1812	1997	1938	1477	1179	1126
2558008506	345	356	705	617	662	1040	751	437	440
2558008507	346	403	459	475	468	579	388	227	203
2558008508	218	227	364	313	380	383	375	285	260
2558008509	115	140	203	120	161	142	161	131	122
2558008510	115	166	320	252	226	338	321	241	222
2558008511	346	306	561	553	623	705	714	634	541
2558008512	574	640	1099	1087	1167	1410	1364	1214	1069
2558008513	2256	2510	3792	3925	5014	4701	4894	4394	4009
2558008514	580	655	880	869	1123	944	903	761	699
2558008515	242	229	412	329	408	335	339	389	283
2558008516	738	768	1037	891	1062	904	825	848	737
2558008517	246	205	323	275	335	290	272	340	297
2558008518	387	422	526	581	694	567	444	466	386
2558008519	125	109	154	82	144	109	78	83	51
2558008520	186	187	246	243	354	314	293	213	191
2558008521	897	974	1160	1310	1356	1465	1218	791	658
2558008522	11	19	29	29	38	34	44	27	29
2558008523	170	176	317	303	356	361	297	306	319
2558008524	1531	1515	2468	2427	2964	2635	1767	1895	1549
2558008525	58	95	114	178	217	181	102	74	60
2558008526	374	418	665	606	761	817	632	472	359
2558008527	1688	1693	2785	2499	2998	3031	2336	2589	2081
2558008528	55	59	103	130	123	168	104	161	96
2558008529	322	350	682	568	539	802	544	600	489
2558008530	687	742	1112	922	994	969	949	828	746
2558008531	311	330	536	428	546	536	571	442	448
2558008532	285	293	591	327	411	416	705	783	653
2558008533	136	139	228	172	199	206	229	279	199
2558008534	18	39	32	39	23	25	12	20	25
2558008535	342	318	388	376	485	428	323	333	285
2558008536	10781	10514	13207	14286	18222	13661	10644	9297	9044
2558008537	16	21	29	10	32	28	24	34	25
2558008538	8	14	11	21	23	29	18	15	12
2558008539	17	9	36	20	22	23	14	26	6
2558008540	15	20	37	23	42	33	26	35	36
2558008541	774	761	1209	1196	1946	1238	723	953	846
2558008542	207	235	384	298	844	478	309	333	248
2558008543	19	30	45	61	54	31	54	58	31
2558008544	35	32	54	56	71	49	61	62	63
2558008545	6	5	9	7	6	4	6	7	4
2558008546	81	69	118	59	69	61	56	33	25
2558008547	63	59	77	78	77	64	53	27	27
2558008548	19	10	16	13	16	9	11	11	9
2558008549	39	42	51	78	61	80	60	55	36
2558008550	121	108	168	192	220	216	143	118	94
2558008551	213	210	269	338	411	392	250	159	171
2558008552	3622	4290	6269	6640	7102	5810	9681	8430	8152
2558008553	3816	3841	5063	4475	4620	2597	3907	5984	5806
2558008554	701	594	1106	718	841	793	833	1425	1187
2558008555	1494	1487	2109	2085	2352	2046	1805	1663	1637
2558008556	4699	4970	6762	7144	7665	7573	5041	4508	4342
2558008557	1772	1951	2699	2824	2823	3307	2425	1769	1635
2558008558	16	34	47	54	44	64	54	52	49
2558008559	738	795	1141	1230	1479	1359	1077	807	724
2558008560	277	314	383	463	534	554	452	349	348
2558008561	276	362	489	558	642	566	453	367	363
2558008562	1611	1574	1987	1561	1876	1734	1551	1308	1161
2558008563	134	139	205	186	270	230	164	132	136
2558008564	275	302	343	371	492	503	340	326	241
2558008565	207	199	307	250	299	312	248	209	185
2558008566	5823	5906	6844	7034	8486	7064	4252	3397	3189
2558008567	513	507	707	611	775	615	608	466	480
2558008568	214	194	343	270	334	297	302	251	218
2558008569	6333	6896	7092	9808	8855	15374	7032	2529	2982
2558008570	367	373	533	506	620	701	612	354	338
2558008571	60	64	96	94	140	141	109	94	82
2558008572	69	59	89	100	106	114	116	77	78
2558008573	152	153	172	132	137	108	163	76	67
2558008574	496	477	688	568	763	737	785	444	419
2558008575	271	269	339	375	487	451	455	318	261
2558008576	222	152	301	232	283	226	245	275	231
2558008577	196	206	303	350	450	356	245	356	275
2558008578	342	394	429	473	645	565	330	436	380
2558008579	732	841	1503	1031	1317	1094	1023	1575	1105
2558008580	201	262	327	267	279	338	276	224	194
2558008581	204	250	383	356	336	341	352	600	524
2558008582	1335	1374	1977	1588	1665	1200	1409	1933	1673
2558008583	333	306	453	387	456	505	388	348	324
2558008584	129	120	152	191	218	240	203	115	125
2558008585	265	250	403	332	356	367	328	213	186
2558008586	131	125	158	206	272	224	211	183	166
2558008587	109	113	199	249	328	388	201	220	193
2558008588	79	61	85	151	192	191	108	95	77
2558008589	103	96	109	149	205	156	123	148	160
2558008590	711	625	879	886	1084	1191	686	774	794
2558008591	45	58	102	63	57	70	82	135	91
2558008592	968	1101	1573	1544	1310	475	390	1491	1273
2558008593	94	127	177	162	200	181	172	159	161
2558008594	49	67	112	102	142	132	152	102	115
2558008595	49	38	82	54	110	90	88	65	61
2558008596	133	160	222	223	252	247	200	145	145
2558008597	41	45	76	65	68	80	39	31	26
2558008598	2	0	3	2	3	1	1	4	2
2558008599	7	6	1	1	7	7	4	6	2
2558008600	0	1	1	0	0	0	0	0	3
2558008601	1	3	2	5	1	2	0	0	4
2558008602	7	11	11	9	6	16	9	12	7
2558008603	9	15	29	16	23	17	14	25	18
2558008604	154	195	383	315	441	146	142	539	333
2558008605	79	114	97	160	190	162	110	115	80
2558008606	25	30	37	53	56	51	33	30	40
2558008607	9	6	27	17	27	20	14	21	13
2558008608	17	16	38	29	44	30	20	32	23
2558008609	35	36	36	41	52	45	24	41	41
2558008610	5	2	3	6	7	2	3	4	8
2558008611	2	1	1	3	2	5	6	4	3
2558008612	293	300	458	398	495	378	450	537	423
2558008613	156	138	287	161	218	149	249	322	280
2558008614	1186	1139	1693	1304	1548	1425	1520	1376	1133
2558008615	66	85	88	89	122	100	102	83	61
2558008616	26	31	42	45	40	54	46	38	35
2558008617	212	230	231	264	344	236	223	236	217
2558008618	273	286	561	521	486	568	603	468	409
2558008619	376	362	536	593	579	530	499	448	443
2558008620	3063	3532	4032	3913	5364	3503	4150	2909	2786
2558008621	20	24	42	25	34	24	43	24	21
2558008622	47	43	111	60	98	75	99	55	61
2558008623	510	509	657	549	668	773	450	506	478
2558008624	393	317	667	540	628	665	593	446	432
2558008625	1078	974	1620	1389	1633	1554	1356	1048	934
2558008626	104	101	159	115	146	121	133	113	92
2558008627	253	256	548	466	547	431	367	500	413
2558008628	18	64	86	72	126	61	68	89	87
2558008629	129	112	242	180	146	108	123	601	485
2558008630	27	37	59	37	41	28	33	169	125
2558008631	20	10	54	27	30	11	9	86	61
2558008632	240	177	387	258	218	147	207	669	575
2558008633	77	54	182	105	101	84	103	189	154
2558008634	13	12	23	17	14	7	16	29	28
2558008635	545	437	1015	777	655	374	994	2741	2324
2558008636	75	32	37	59	57	20	74	148	144
2558008637	719	557	1118	799	738	455	857	1918	1697
2558008638	20	27	38	31	48	34	17	43	60
2558008639	2	4	4	7	3	7	4	10	8
2558008640	15	24	29	31	49	25	20	38	32
2558008641	190	162	293	295	315	328	247	195	192
2558008642	8	4	7	5	6	3	5	1	3
2558008643	1	2	7	6	10	9	4	6	4
2558008644	4	0	5	4	5	7	3	3	0
2558008645	78	67	93	86	79	118	76	76	56
2558008646	99	75	100	156	157	193	49	38	36
2558008647	7	12	18	11	18	15	12	6	6
2558008648	15	1	27	8	15	14	13	25	16
2558008650	122	162	172	170	192	136	166	131	124
2558008651	135	148	251	228	264	238	175	198	190
2558008652	328	338	473	431	577	472	373	343	285
2558008653	575	513	872	843	1010	921	809	856	675
2558008654	104	71	131	133	159	130	126	143	131
2558008655	10	7	10	20	11	12	20	14	13
2558008656	2702	2362	3598	2794	2676	3005	3012	4509	3528
2558008657	364	295	446	383	448	466	465	531	497
2558008658	299	272	389	249	328	266	286	332	268
2558008659	82	87	132	113	136	138	147	153	164
2558008660	229	299	414	327	345	356	361	591	435
2558008661	247	422	691	522	404	317	513	2425	2128
2558008662	289	343	626	442	364	253	553	2130	1962
2558008663	16	19	26	17	20	13	41	101	79
2558008664	42	75	131	89	113	55	125	478	337
2558008665	87	111	194	136	118	61	199	648	613
2558008666	47	40	85	78	86	58	98	195	155
2558008667	2157	2089	3183	1960	2883	2150	2521	2169	1981
2558008668	210	296	408	445	566	178	334	988	884
2558008669	881	923	1435	1453	1539	307	253	1548	726
2558008670	7510	7597	10903	10119	9726	2256	2467	8978	5979
2558008671	114	124	197	196	214	174	158	166	143
2558008672	51	53	68	103	118	72	52	77	66
2558008673	28	45	40	75	222	57	16	36	19
2558008675	970	1068	1118	822	1217	1117	466	138	169
2558008676	102	129	209	134	247	170	82	16	35
2558008677	322	374	454	319	572	481	289	86	123
2558008678	254	339	383	303	386	374	214	47	39
2558008679	314	382	492	326	408	460	236	40	68
2558008680	280	368	455	319	368	563	248	37	61
2558008681	84	97	147	119	118	164	123	79	61
2558008682	17	18	19	12	19	4	11	18	9
2558008683	15	7	13	15	18	18	11	29	32
2558008684	7	14	19	20	21	25	20	12	11
2558008685	151	124	163	165	183	187	157	86	93
2558008686	85	70	107	132	147	117	103	72	70
2558008687	227	246	307	326	391	351	246	200	213
2558008688	194	182	204	239	299	262	156	196	176
2558008689	335	431	601	300	294	198	240	618	519
2558008690	50	33	60	41	49	39	34	72	47
2558008691	45	48	65	74	55	44	66	84	55
2558008692	0	4	2	1	1	4	3	3	3
2558008693	71	66	116	79	113	100	105	109	89
2558008694	177	195	304	241	253	234	209	147	150
2558008695	591	578	848	758	855	737	669	502	508
2558008696	47	48	68	70	79	63	53	72	70
2558008697	83	59	101	80	138	115	142	91	78
2558008698	169	136	214	211	214	215	197	157	135
2558008699	188	180	294	316	404	393	252	221	239
2558008700	55	63	86	85	126	135	74	71	79
2558008701	58	58	92	98	123	139	82	80	54
2558008702	7	11	25	14	14	17	7	16	11
2558008703	41	41	47	53	41	51	29	19	16
2558008704	14	7	14	16	13	15	13	10	2
2558008705	41	26	45	60	60	41	30	30	28
2558008706	27	34	59	80	68	58	34	32	24
2558008707	12	16	26	26	17	32	17	17	13
2558008708	124	108	158	146	167	162	121	116	104
2558008709	38	46	54	74	63	71	57	59	38
2558008710	4	2	3	7	12	13	9	4	6
2558008711	6	16	20	30	21	26	20	15	4
2558008712	0	0	2	2	4	3	1	0	1
2558008713	173	170	274	236	274	193	143	202	169
2558008714	220	225	295	284	357	295	240	164	145
2558008715	982	981	1216	968	1260	1138	1172	936	797
2558008716	378	410	472	464	619	529	340	244	225
2558008717	3852	3573	5231	3940	3287	3813	2703	3394	2630
2558008718	292	333	416	378	420	380	281	369	254
2558008719	584	575	622	581	676	629	521	517	469
2558008720	1250	1381	1727	1794	1460	1964	1298	1374	1178
2558008721	7	7	14	11	5	15	7	5	10
2558008722	190	202	276	314	239	241	197	145	147
2558008723	627	716	960	796	790	856	476	357	327
2558008724	148	191	233	278	287	263	187	154	155
2558008725	386	421	611	578	569	672	571	448	360
2558008726	94	102	159	171	156	195	133	139	124
2558008727	14	22	41	43	44	41	34	24	20
2558008728	40	45	64	56	98	55	43	34	50
2558008729	23	29	44	41	37	48	46	41	32
2558008730	4	11	14	16	22	15	18	3	1
2558008731	92	130	204	171	236	266	189	313	225
2558008732	354	377	477	520	697	621	577	514	404
2558008733	75	73	129	158	168	163	143	114	116
2558008734	26	27	33	27	44	32	21	21	35
2558008735	47	39	63	69	59	60	51	52	51
2558008736	39	57	55	85	119	98	78	61	41
2558008737	182	182	241	253	270	302	268	219	220
2558008738	819	823	974	996	1150	959	908	1106	962
2558008739	232	199	333	245	253	242	201	251	236
2558008740	120	145	220	210	260	248	199	177	159
2558008741	54	72	94	125	157	113	89	94	106
2558008742	415	432	643	694	778	491	322	605	503
2558008743	125	148	160	212	223	147	115	160	111
2558008744	3688	3842	5918	5124	4409	4827	3479	4301	3594
2558008745	1800	2084	2921	1937	2095	968	1120	3203	2163
2558008746	2555	2925	4609	3522	4347	2827	2461	5537	3398
2558008747	3894	3755	5931	4512	6260	5483	5725	5858	4530
2558008748	163	182	279	323	329	335	258	341	246
2558008749	102	95	190	155	189	217	203	262	205
2558008750	450	416	991	745	832	986	1176	1212	1040
2558008751	1058	1099	1709	1806	1997	2016	1983	1945	1566
2558008752	2182	2511	3753	3507	3928	3809	4119	3637	3177
2558008753	688	804	1047	1289	2505	1157	763	1050	940
2558008754	8	9	18	17	31	21	14	27	15
2558008755	86	122	196	153	184	179	135	123	124
2558008756	54	42	62	69	70	80	62	36	44
2558008757	200	219	282	351	419	397	238	163	179
2558008758	35	59	73	90	97	105	98	65	80
2558008759	180	213	324	293	396	383	372	335	273
2558008760	259	248	410	302	458	492	354	301	256
2558008761	174	167	243	235	258	283	224	188	153
2558008762	6	6	9	4	13	9	10	6	15
2558008763	13	8	14	8	12	8	19	22	11
2558008764	110	91	159	142	179	157	208	180	165
2558008765	132	137	208	218	217	225	241	289	211
2558008766	1033	857	1653	1090	1037	997	2470	2982	2515
2558008767	320	365	457	341	369	361	591	674	528
2558008768	776	968	1218	1350	1723	1136	1262	1453	1368
2558008769	509	649	1082	918	1325	973	996	1219	1082
2558008770	320	332	629	497	590	681	489	363	320
2558008771	1435	1518	1770	1875	2330	2156	2027	1141	1029
2558008772	460	407	597	588	728	754	662	464	371
2558008773	21	29	37	49	56	66	42	31	31
2558008774	1125	1209	1462	2025	2681	1808	1427	1519	1269
2558008775	594	621	882	1046	1379	999	899	887	728
2558008777	107	99	216	241	416	253	207	170	138
2558008778	89	126	111	177	420	99	59	74	64
2558008779	144	177	244	310	372	338	230	198	190
2558008780	33	30	28	25	28	37	26	11	16
2558008781	5	8	5	5	8	4	3	4	4
2558008782	11	7	4	4	7	10	11	2	3
2558008783	31	30	27	24	34	35	13	7	3
2558008784	37	33	28	36	57	49	33	24	15
2558008785	7	14	15	15	31	14	14	10	6
2558008786	2	9	9	11	4	9	7	5	10
2558008787	8	22	21	24	21	38	15	24	8
2558008788	23	36	56	44	42	46	35	39	28
2558008789	1	0	3	3	4	0	1	2	0
2558008790	133	144	265	261	246	39	41	34	32
2558008791	163	196	326	315	336	147	126	91	90
2558008792	37	32	48	69	80	68	57	50	36
2558008793	25	11	30	41	46	45	41	29	29
2558008794	6	5	2	4	7	8	5	12	6
2558008795	1	0	1	1	0	1	0	1	0
2558008796	18	7	24	21	14	31	16	13	11
2558008797	36	29	28	35	43	28	47	23	11
2558008798	60	67	113	87	117	113	104	73	75
2558008799	40	37	65	46	58	69	57	39	39
2558008800	46	29	45	46	57	51	33	30	27
2558008801	94	97	131	107	139	126	113	64	65
2558008802	18	26	28	29	36	43	31	21	20
2558008803	139	149	196	217	151	145	112	145	140
2558008804	89	92	169	141	169	150	139	128	125
2558008805	0	0	0	0	0	0	0	0	0
2558008806	1504	1499	1583	1682	1963	1183	2128	1653	1776
2558008807	427	511	489	620	679	370	760	587	619
2558008808	68	67	66	86	75	48	74	58	58
2558008809	283	273	319	371	377	297	358	390	310
2558008810	262	260	411	262	270	178	237	247	249
2558008811	1255	1169	2021	2014	2577	1987	1468	1597	1439
2558008812	166	194	332	295	459	347	331	354	287
2558008813	531	450	990	720	1012	733	749	876	768
2558008814	61	60	110	65	106	114	102	99	101
2558008815	220	243	380	302	344	358	386	240	232
2558008816	23	21	41	34	27	46	33	35	21
2558008817	53	76	100	94	108	74	101	69	49
2558008818	808	836	1157	1028	1343	1077	1242	1059	943
2558008819	185	206	279	345	593	373	344	242	192
2558008820	142	172	222	241	356	237	344	283	258
2558008822	181	164	307	230	262	279	366	341	230
2558008823	33	46	62	81	104	62	54	55	47
2558008824	49	55	56	84	224	69	50	61	42
2558008825	10	10	12	6	7	20	17	20	15
2558008826	28	27	28	29	35	30	37	35	34
2558008827	4	4	6	4	9	16	2	3	1
2558008828	18	9	25	16	16	27	24	15	11
2558008829	1	1	1	0	0	8	1	0	1
2558008830	31	38	89	59	57	87	38	31	41
2558008831	8	14	34	41	42	44	23	26	24
2558008832	28	31	98	41	53	100	35	50	34
2558008833	13	25	37	35	28	30	18	16	8
2558008834	154	136	263	195	193	201	192	180	168
2558008835	55	43	66	58	66	59	50	46	50
2558008836	87	119	178	199	345	135	144	274	221
2558008837	138	165	206	194	368	200	177	252	265
2558008838	343	401	508	363	451	390	365	298	278
2558008839	110	136	223	157	171	60	143	97	74
2558008840	1350	1418	2917	1796	2053	410	343	1858	792
2558008841	427	425	582	509	351	115	127	436	366
2558008842	86	108	140	90	126	116	70	68	58
2558008843	128	117	179	220	204	275	158	178	166
2558008844	44	47	62	57	70	72	82	56	36
2558008845	60	48	129	71	74	85	105	73	69
2558008846	354	359	639	633	739	912	722	815	560
2558008847	2723	2713	4650	4717	7358	6784	4052	4417	4069
2558008848	13	4	20	16	20	16	8	12	5
2558008849	47	39	102	77	67	74	60	86	58
2558008850	62	89	186	207	140	190	28	24	30
2558008851	302	396	878	627	692	722	60	61	43
2558008852	1414	1956	4279	2813	2631	2941	214	295	169
2558008853	103	158	399	212	157	303	5	13	7
2558008854	4135	4919	10597	10886	7984	13412	252	267	122
2558008855	618	689	1642	1665	1307	2142	39	64	22
2558008856	139	206	305	280	267	347	58	73	54
2558008857	83	111	174	185	143	290	29	29	10
2558008858	91	112	199	190	205	320	33	32	25
2558008859	267	273	548	606	440	916	56	72	53
2558008860	422	437	1015	792	628	1122	110	130	96
2558008861	892	1036	2166	1274	968	1218	169	163	110
2558008862	157	249	569	290	193	242	18	22	7
2558008863	379	484	1097	674	470	494	59	54	32
2558008864	211	345	606	414	298	310	50	50	29
2558008865	432	637	1425	817	488	558	86	83	46
2558008866	1264	1812	3641	2067	1534	1835	480	457	353
2558008867	552	723	1321	680	595	694	160	147	131
2558008868	475	686	1195	660	587	757	164	115	103
2558008869	512	731	1381	787	642	826	88	73	42
2558008870	545	798	1466	822	721	803	73	61	37
2558008871	720	1048	1806	1143	924	1007	116	73	60
2558008872	586	783	1546	1008	757	870	139	107	41
2558008873	169	272	452	302	260	269	16	25	14
2558008874	463	758	1225	934	868	884	73	65	28
2558008875	60	103	175	119	127	104	19	9	9
2558008876	171	298	343	333	291	366	47	20	18
2558008877	60	83	114	123	105	129	16	9	3
2558008878	148	182	354	291	218	309	38	10	9
2558008879	123	158	374	283	218	291	20	15	16
2558008880	340	472	858	662	651	796	183	154	147
2558008881	32	16	74	43	49	60	17	13	9
2558008882	44	34	77	72	51	82	19	24	16
2558008883	16	14	23	33	26	53	1	7	2
2558008884	90	100	101	169	160	241	27	31	19
2558008885	129	113	207	160	107	442	15	8	9
2558008886	78	59	110	107	70	322	5	2	2
2558008887	303	247	445	426	265	1299	22	15	7
2558008888	170	136	251	257	170	806	16	6	4
2558008890	262	201	313	439	249	766	9	5	7
2558008892	71	90	146	223	142	308	20	30	24
2558008893	81	72	162	162	119	210	9	2	3
2558008894	325	356	515	279	342	428	263	201	168
2558008895	324	496	863	563	704	830	151	96	66
2558008896	400	610	920	716	793	878	157	100	62
2558008897	281	358	525	449	508	606	165	115	108
2558008898	94	108	143	214	172	368	17	13	7
2558008899	108	145	172	285	309	446	42	11	11
2558008900	61	80	119	129	150	215	16	4	1
2558008901	123	99	120	285	240	665	18	18	19
2558008902	27	12	15	47	25	108	4	2	1
2558008903	15	10	7	18	17	100	2	1	2
2558008904	170	63	75	236	154	540	12	16	9
2558008905	2	1	2	7	4	11	2	0	1
2558008906	11	6	11	20	8	20	1	0	1
2558008907	8	8	5	11	7	12	10	10	1
2558008908	2	0	0	0	0	1	0	0	1
2558008909	123	147	213	155	158	137	100	92	99
2558008910	111	123	178	223	240	254	51	92	85
2558008911	79	58	75	92	115	107	19	33	34
2558008912	6	11	22	38	39	38	10	9	5
2558008913	13	23	27	40	46	62	2	3	3
2558008914	18	22	40	67	47	72	4	2	5
2558008915	122	118	235	339	283	548	26	34	20
2558008916	36	42	59	74	75	132	18	10	7
2558008917	4	5	10	9	10	16	4	0	1
2558008918	95	92	147	105	125	106	106	78	70
2558008919	275	268	743	507	467	351	337	672	590
2558008920	172	216	266	280	334	333	285	193	209
2558008921	180	171	264	302	273	347	302	200	150
2558008922	1158	1356	1362	1244	1497	1329	1482	739	722
2558008923	284	335	571	630	815	700	492	515	549
2558008924	334	398	708	647	813	798	850	787	702
2558008925	311	365	529	374	523	417	613	483	482
2558008926	58	51	61	82	118	97	88	78	59
2558008927	102	123	147	208	205	187	194	185	172
2558008928	496	731	706	880	1314	555	1099	777	851
2558008929	995	1014	1836	1483	1908	1737	1661	1855	1538
2558008930	7225	7362	10803	9810	12540	11406	9439	8755	7348
2558008931	7116	7545	11438	9465	11775	10894	10531	9232	7740
2558008932	6035	6001	9072	10131	12279	12613	9304	7408	6502
2558008933	4483	4403	7405	5751	5864	6914	6978	5213	4367
2558008934	2838	2866	5796	4910	4880	6141	5783	5571	4252
2558008935	7406	8182	11975	12336	11135	12742	14055	11618	9983
2558008936	2188	2137	3216	2803	2520	1700	1888	3314	2521
2558008937	770	820	1146	1088	1133	689	587	1233	867
2558008938	501	494	876	602	680	395	319	1013	651
2558008939	303	317	484	474	531	500	958	850	815
2558008940	136	146	244	217	285	259	241	228	208
2558008941	279	340	508	463	498	512	438	576	540
2558008942	2186	1940	3302	2615	2828	2804	2065	2144	1750
2558008943	279	303	482	396	470	490	455	356	291
2558008944	282	293	543	528	525	569	549	454	412
2558008945	286	327	392	412	502	448	428	321	338
2558008946	195	232	278	223	263	214	278	306	254
2558008947	570	570	858	814	954	897	805	522	460
2558008948	187	184	258	324	443	384	303	199	180
2558008949	365	526	503	667	888	903	588	447	413
2558008950	95	139	133	154	211	220	191	133	105
2558008951	135	121	246	216	170	223	170	141	126
2558008953	1009	982	1201	1904	2534	2256	1073	808	762
2558008954	1491	1679	1843	2727	4140	3716	1662	1187	1156
2558008955	44	62	104	95	106	102	111	64	57
2558008956	373	321	625	566	724	764	633	515	433
2558008957	50	54	100	90	73	70	61	36	48
2558008958	23	26	50	23	26	47	36	29	31
2558008959	28	19	38	44	64	62	54	40	34
2558008960	40	38	64	79	73	75	58	32	35
2558008961	18	16	20	18	22	21	22	16	14
2558008962	327	397	557	589	1858	653	306	397	318
2558008963	35	31	51	62	125	65	20	46	26
2558008964	32	30	69	62	66	71	79	61	69
2558008965	214	155	408	227	147	620	610	770	445
2558008966	266	220	478	215	219	830	720	848	572
2558008967	197	225	323	247	344	414	354	350	307
2558008968	360	435	402	439	610	483	471	300	309
2558008969	338	357	591	454	542	710	503	429	440
2558008970	106	101	148	153	190	196	171	153	149
2558008971	1155	1189	1704	1504	1905	2062	1436	1373	1206
2558008972	544	628	792	1083	1316	1271	663	595	539
2558008973	1110	1030	1475	1676	1902	1922	1118	1115	947
2558008974	901	842	1168	932	1143	1014	741	811	699
2558008975	61	112	102	101	172	146	120	88	76
2558008976	274	369	429	510	558	601	400	250	266
2558008977	124	144	227	209	251	268	342	349	259
2558008978	165	155	298	271	243	257	506	466	366
2558008979	224	264	390	282	322	321	568	528	434
2558008980	24	26	35	38	50	26	45	36	44
2558008981	187	249	305	301	350	119	113	281	206
2558008982	1032	1169	1602	1356	1803	1225	1197	1438	1146
2558008983	440	497	581	671	820	907	715	504	493
2558008984	339	359	468	490	568	524	373	323	323
2558008985	221	281	417	426	486	451	341	373	370
2558008986	489	502	776	599	764	710	595	567	513
2558008987	54	61	132	101	128	133	115	188	134
2558008988	820	886	1763	1494	1923	1583	1483	1473	1180
2558008989	39	35	61	47	66	67	52	40	45
2558008990	73	71	127	109	120	107	126	161	113
2558008991	83	96	201	181	211	234	202	203	187
2558008992	712	674	1057	1270	1539	1622	1401	1290	1395
2558008993	58	45	88	72	91	132	98	109	82
2558008994	384	431	617	698	710	738	598	595	469
2558008995	260	267	439	462	373	399	341	457	359
2558008996	2128	2450	3973	5063	4012	3891	2689	5292	4529
2558008997	106	104	176	168	190	183	155	192	170
2558008998	94	81	105	94	95	74	81	78	85
2558008999	1958	1881	2223	2186	2952	2964	2599	1713	1724
2558009000	1135	1041	1467	1503	2049	1478	1123	1295	1088
2558009001	3504	3552	4089	3512	3916	3813	3703	2607	2462
2558009002	305	293	481	416	499	601	425	315	313
2558009003	224	220	321	248	338	382	280	176	146
2558009004	274	243	265	230	334	201	207	165	128
2558009005	161	230	218	174	250	146	133	107	96
2558009006	80	71	96	138	132	134	78	83	60
2558009007	52	57	61	79	103	129	77	44	53
2558009008	70	58	63	110	140	192	88	59	53
2558009009	21	18	38	63	52	68	47	21	23
2558009010	38	25	38	49	68	47	35	24	22
2558009011	4	11	4	17	41	8	14	9	6
2558009012	145	182	205	238	342	240	158	150	145
2558009013	19	26	45	65	59	39	37	39	22
2558009014	1229	1251	1737	1738	1830	1431	1192	1275	1100
2558009015	35	37	39	54	73	53	41	42	25
2558009016	131	110	186	203	224	186	150	159	120
2558009017	96	70	109	108	129	149	94	113	82
2558009018	200	167	240	300	339	299	192	199	128
2558009019	148	162	232	213	257	188	210	171	145
2558009020	307	391	583	422	559	497	478	523	464
2558009021	76	102	133	144	171	164	123	185	144
2558009022	11	23	24	20	36	36	28	50	34
2558009023	10	6	16	11	25	22	22	36	34
2558009024	250	230	410	371	482	531	465	618	516
2558009025	1819	1862	4139	3456	4734	4962	5065	5896	5518
2558009026	38	27	47	43	40	50	49	38	23
2558009027	24	30	41	28	24	27	33	20	18
2558009028	104	94	113	109	123	110	148	113	87
2558009029	280	225	344	368	345	352	287	156	169
2558009030	182	157	279	174	187	142	262	177	160
2558009031	122	107	192	112	141	113	167	105	110
2558009032	9	11	22	18	18	10	26	13	9
2558009033	69	54	107	142	154	222	128	88	114
2558009034	2986	4100	4196	7177	9090	12893	6034	2144	2889
2558009035	1799	2352	2299	2387	3040	2825	1772	1372	1247
2558009036	23	12	30	26	32	33	15	29	24
2558009037	159	148	254	249	310	235	213	181	179
